ror_id,display_name,acronyms,alt_names,types,city,status,established,created,modified,isni,fundref,wikidata_id,website,parents,children,related,predecessors,successors
00htbzg76,Saxon Memorial Foundation,,Stiftung Sächsische Gedenkstätten zur Erinnerung an die Opfer politischer Gewaltherrschaft,nonprofit,Dresden,active,1994,2019-02-17,2024-12-11,0000 0000 9411 915X,,Q2349185,https://en.stsg.de,,,,,
01qjbb734,Saxon Police Force,FH,Hochschule der Sächsischen Polizei,education,Rothenburg,active,1994,2018-11-14,2024-12-11,,,,https://www.polizei.sachsen.de/eng/index.htm,,,,,
05wnef833,Saxon State Ministry for Science and the Arts,SMWK,Sächsisches Staatsministerium für Wissenschaft und Kunst,government; funder,Dresden,active,1990,2018-11-14,2024-12-11,0000 0001 2227 3534,501100006114,,http://www.sachsen.de/en/24.htm,,,,,
05jv9s411,Senckenberg Museum für Naturkunde Görlitz,,Naturkundemuseum Görlitz; Senckenberg Museum of Natural History Görlitz,archive,Görlitz,active,1860,2018-11-14,2025-08-07,0000 0001 1016 2925,,Q2269936,https://museumgoerlitz.senckenberg.de/,00xmqmx64,,,,
016xad343,Senckenberg Natural History Collections Dresden,SGN,Senckenberg Naturhistorische Sammlungen Dresden; State Natural History Collections of Dresden,archive,Dresden,active,2009,2021-09-23,2025-08-07,0000 0000 9326 155X,,Q2269939,https://www.senckenberg.de/en/institutes/senckenberg-naturhistorische-sammlung-dresden/,00xmqmx64,,,,
03wf51b65,SLUB Dresden,SLUB,Saxon State and University Library Dresden; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden,archive; funder,Dresden,active,1556,2018-11-14,2024-12-11,0000 0001 1939 5418,501100015022,Q323270,https://www.slub-dresden.de,,,,,
01pjwgv56,Smart Material (Germany),,,company,Dresden,active,2000,2018-11-14,2024-12-11,,,Q30285392,https://www.smart-material.com/index.html,,,,,
03hayrn10,Sorbian Institute,,SERBSKI INSTITUT; Sorbisches Institut,archive,Bautzen,active,1992,2018-11-14,2024-12-11,0000 0001 2238 5296,,,http://www.serbski-institut.de/,,,,,
00esbf302,St. Elisabeth-Krankenhaus Leipzig,,,healthcare,Leipzig,active,1931,2018-11-14,2024-12-11,,,,http://www.ek-leipzig.de/,,,,,
0344t9m71,Stiftung Datenschutz,,Foundation for Data Protection,nonprofit,Leipzig,active,2013,2023-05-11,2024-12-11,0000 0004 9473 8443,,Q15849271,https://stiftungdatenschutz.org,,,,,
03d8ync95,Stiftung Deutsche Depressionshilfe,,,other,Leipzig,active,2008,2018-11-14,2024-12-11,0000 0004 8519 2872,,Q15849272,https://www.deutsche-depressionshilfe.de/start,,,,,
00g4wce19,Stoller Ingenieurtechnik (Germany),,,company,Dresden,active,1992,2019-11-07,2024-12-11,,,,https://www.stoller-dresden.de/,,,,,
0371sxw13,Städtische Bibliotheken Dresden,,,archive,Dresden,active,1879,2025-06-24,2025-06-24,0000 0001 2193 5903,,Q2359904,https://www.bibo-dresden.de,,,,,
007gt1a87,Städtisches Klinikum Dresden,,,healthcare,Dresden,active,2017,2019-11-07,2024-12-11,,,Q28738058,https://www.klinikum-dresden.de/,,,,,
02pfxyr52,Sunfire (Germany),,,company,Dresden,active,2010,2018-11-14,2024-12-11,,,Q30292019,https://www.sunfire.de/en/,,,,,
05smgv327,SURAGUS (Germany),,,company,Dresden,active,2010,2020-07-06,2024-12-11,,,,https://www.suragus.com/en/,,,,,
01z40a451,Synexus (Germany),,,company,Leipzig,active,1998,2018-11-14,2024-12-11,,,Q30270494,https://www.synexus-klinik.de/,030ph1y13,,,,
050bn6e97,Sächsische Binnenhäfen Oberelbe (Germany),SBO,,company,Dresden,active,1990,2018-11-14,2024-12-11,,,Q30291638,https://www.binnenhafen-sachsen.de/,,,,,
05jpsw268,Sächsische Krebsgesellschaft,,,other,Zwickau,active,,2018-11-14,2024-12-11,,,,https://www.skg-ev.de/,,,,,
04zp2d344,Sächsisches Institut für die Druckindustrie,SID,Institut des Vereins POLYGRAPH Leipzig,facility,Leipzig,active,1993,2018-11-14,2024-12-11,,,,http://www.sidleipzig.de/en,,,,,
044s59k57,Sächsisches Krankenhaus Rodewisch,,,healthcare,Rodewisch,active,1893,2018-11-14,2024-12-11,0000 0004 6091 0356,,,https://www.skh-rodewisch.sachsen.de/startseite/,,,,,
04facpy29,"Sächsisches Landesamt für Umwelt, Landwirtschaft und Geologie",LfULG,,government,Dresden,active,2008,2018-11-14,2024-12-11,0000 0000 9466 9696,,,http://www.lfulg.sachsen.de/,03ekpdz59,,,,
01jdjjh55,Sächsisches Staatsarchiv,,,archive,Chemnitz,active,2005,2018-11-14,2024-12-11,,,,http://www.staatsarchiv.sachsen.de/,,,,,
03ekpdz59,"Sächsisches Staatsministerium für Energie, Klimaschutz, Umwelt und Landwirtschaft",SMUL,Sächsisches Staatsministerium für Umwelt und Landwirtschaft,government,Dresden,active,1998,2018-11-14,2024-12-11,0000 0001 0941 9973,,,https://www.smul.sachsen.de/,,04facpy29,,,
0198kn518,Sächsisches Staatsministerium für Soziales und Verbraucherschutz,SMS,,government,Dresden,active,1990,2018-11-14,2024-12-11,,,,https://www.sms.sachsen.de/,,,,,
04vbenz24,Sächsisches Textilforschungsinstitut,STFI,,nonprofit,Chemnitz,active,1992,2018-11-14,2024-12-11,0000 0000 9187 3261,,,http://www.stfi.de/en/home.html,,,,,
00nk1fh63,TBZ PARIV (Germany),,,company,Chemnitz,active,1993,2018-11-14,2024-12-11,,,Q30292282,https://www.tbz-pariv.de/,,,,,
042aqky30,Technische Universität Dresden,TUD,TU Dresden; TUD Dresden University of Technology,education; funder,Dresden,active,1828,2018-11-14,2025-06-24,0000 0001 2111 7257,501100002957; 501100007491; 501100020132; 501100023321,Q158158; Q31837129,https://tu-dresden.de,,05hrn3e05; 00kkpv737; 04wn6w972; 00me29179; 056qj1t15; 028070c57; 05ke5hb07; 01dj9qb53; 01zy07c70; 01jx86h05; 01t4ttr56; 020z28a80,044fhy270; 00qcpjs09; 035xba693; 04za5zm41; 02nx8n605; 042wjdg05,,
01drpqr75,Technologiezentrum Dresden (Germany),TZS,,company,Dresden,active,,2019-11-07,2024-12-11,,,,https://www.tzdresden.de,,,,,
01d2xqw69,Technologiezentrum Halbleitermaterialien,THM,Fraunhofer THM; Fraunhofer Technology Center for Semiconductor Materials,facility,Freiberg,active,2005,2019-11-07,2024-12-11,,,Q77075626,http://www.thm.fraunhofer.de/de?set_language=de,04q5rka56; 02kfzvh91,,,,
01k089j70,Topas GmbH (Germany),TOPAS,"Technologie-orientierte Partikel-, Analysen- und Sensortechnik GmbH; Topas GmbH",company,Dresden,active,1991,2025-04-02,2025-04-03,,,,https://www.topas-gmbh.de,,,,,
01dj9qb53,TransDeN Lab,,Translational Developmental Neuroscience Lab; Translational Developmental Neuroscience Section,facility,Dresden,active,2013,2023-03-16,2025-04-28,,,,https://www.transdenlab.de,042aqky30; 04za5zm41,,,,
031vc2293,TU Bergakademie Freiberg,TUBAF,Technische Universität Bergakademie Freiberg,education; funder,Freiberg,active,1765,2018-11-14,2024-12-11,0000 0001 0805 5610,501100021786,Q689854,https://tu-freiberg.de/,,,,,
026zv7h71,TUMAINI-Institut für Präventionsmanagement,,,healthcare,Dresden,active,,2019-11-07,2024-12-11,,,,http://tumaini.de/,,,,,
04za5zm41,University Hospital Carl Gustav Carus,,Carl Gustav Carus Hospital; Universitätsklinikum Carl Gustav Carus Dresden,healthcare,Dresden,active,1999,2018-11-14,2025-04-28,0000 0001 1091 2917,,Q1651640,https://www.uniklinikum-dresden.de/en,,056gvz809; 05medrv10; 00gfym921; 05ke5hb07; 015e4mc09; 01dj9qb53; 01zy07c70,042aqky30,,
028hv5492,University Hospital Leipzig,,Universitätsklinikum Leipzig,healthcare,Leipzig,active,1415,2018-11-14,2024-12-11,0000 0000 8517 9062,,,http://www.uniklinikum-leipzig.de/,,02sy3xj90; 03cr5e788; 04gpj3340; 020f8h126,03s7gtk40,,
04msbx814,University of Music and Theatre Leipzig,HMT,Hochschule für Musik und Theater Felix Mendelssohn Bartholdy Leipzig,education,Leipzig,active,1843,2018-11-14,2024-12-11,0000 0001 2293 251X,,Q312578,http://www.hmt-leipzig.de/en/,,,,,
015e4mc09,Universitäts Kinder Frauenzentrum,UKF,,healthcare,Dresden,active,2007,2018-11-14,2024-12-11,,,,https://www.uniklinikum-dresden.de/de/das-klinikum/universitaetscentren/ukf,04za5zm41,,,,
